n_components,knn_neighbors,knn_score
42,3,0.8444444444444444
42,4,0.8222222222222222
42,5,0.8
42,6,0.8
43,1,0.8444444444444444
43,2,0.8444444444444444
43,3,0.8444444444444444
43,4,0.8444444444444444
43,5,0.8666666666666667
43,6,0.8222222222222222
44,1,0.8444444444444444
44,2,0.8222222222222222
44,3,0.8222222222222222
44,4,0.8
44,5,0.8222222222222222
44,6,0.8
45,1,0.8444444444444444
45,2,0.8444444444444444
45,3,0.8444444444444444
45,4,0.8222222222222222
45,5,0.7777777777777778
45,6,0.7555555555555555
46,1,0.8666666666666667
46,2,0.8444444444444444
46,3,0.8444444444444444
46,4,0.8
46,5,0.8
46,6,0.7555555555555555
47,1,0.8888888888888888
47,2,0.9111111111111111
47,3,0.8444444444444444
47,4,0.7777777777777778
47,5,0.7777777777777778
47,6,0.8
48,1,0.8666666666666667
48,2,0.8666666666666667
48,3,0.8222222222222222
48,4,0.7777777777777778
48,5,0.8
48,6,0.7777777777777778
49,1,0.8666666666666667
49,2,0.8666666666666667
49,3,0.8444444444444444
49,4,0.8222222222222222
49,5,0.7777777777777778
49,6,0.7777777777777778
50,1,0.8666666666666667
50,2,0.8666666666666667
50,3,0.8444444444444444
50,4,0.7777777777777778
50,5,0.7777777777777778
50,6,0.7555555555555555
51,1,0.8444444444444444
51,2,0.8666666666666667
51,3,0.8444444444444444
51,4,0.8
51,5,0.8
51,6,0.7555555555555555
52,1,0.8444444444444444
52,2,0.8666666666666667
52,3,0.8222222222222222
52,4,0.7777777777777778
52,5,0.7777777777777778
52,6,0.6888888888888889
53,1,0.8444444444444444
53,2,0.8444444444444444
53,3,0.8666666666666667
53,4,0.7777777777777778
53,5,0.7333333333333333
53,6,0.7111111111111111
54,1,0.8444444444444444
54,2,0.8444444444444444
54,3,0.8444444444444444
54,4,0.7777777777777778
54,5,0.7111111111111111
54,6,0.7111111111111111
55,1,0.8444444444444444
55,2,0.8444444444444444
55,3,0.8222222222222222
55,4,0.7555555555555555
55,5,0.6888888888888889
55,6,0.6888888888888889
56,1,0.8666666666666667
56,2,0.8444444444444444
56,3,0.8222222222222222
56,4,0.7333333333333333
56,5,0.6666666666666666
56,6,0.7111111111111111
57,1,0.8888888888888888
57,2,0.8888888888888888
57,3,0.8444444444444444
57,4,0.7333333333333333
57,5,0.7111111111111111
57,6,0.7111111111111111
58,1,0.9111111111111111
58,2,0.8666666666666667
58,3,0.8444444444444444
58,4,0.7555555555555555
58,5,0.6444444444444445
58,6,0.7111111111111111
59,1,0.8444444444444444
59,2,0.8888888888888888
59,3,0.8444444444444444
59,4,0.7555555555555555
59,5,0.7111111111111111
59,6,0.6888888888888889
60,1,0.8666666666666667
60,2,0.8666666666666667
60,3,0.8222222222222222
60,4,0.7333333333333333
60,5,0.7111111111111111
60,6,0.7777777777777778
61,1,0.8444444444444444
61,2,0.8
61,3,0.8
61,4,0.7111111111111111
61,5,0.6888888888888889
61,6,0.7111111111111111
62,1,0.8222222222222222
62,2,0.8
62,3,0.8444444444444444
62,4,0.7777777777777778
62,5,0.7111111111111111
62,6,0.7111111111111111
63,1,0.8222222222222222
63,2,0.7555555555555555
63,3,0.8222222222222222
63,4,0.7333333333333333
63,5,0.6888888888888889
63,6,0.6444444444444445
64,1,0.8
64,2,0.8
64,3,0.8222222222222222
64,4,0.7333333333333333
64,5,0.6888888888888889
64,6,0.6666666666666666
65,1,0.8222222222222222
65,2,0.8
65,3,0.8
65,4,0.7333333333333333
65,5,0.6666666666666666
65,6,0.6666666666666666
66,1,0.8
66,2,0.8
66,3,0.8
66,4,0.7111111111111111
66,5,0.6666666666666666
66,6,0.6444444444444445
67,1,0.8222222222222222
67,2,0.7333333333333333
67,3,0.7555555555555555
67,4,0.6
67,5,0.6222222222222222
67,6,0.5777777777777777
68,1,0.8
68,2,0.7333333333333333
68,3,0.7333333333333333
68,4,0.6222222222222222
68,5,0.6222222222222222
68,6,0.5777777777777777
69,1,0.8222222222222222
69,2,0.7333333333333333
69,3,0.7333333333333333
69,4,0.6444444444444445
69,5,0.6
69,6,0.6222222222222222
70,1,0.7777777777777778
70,2,0.6888888888888889
70,3,0.7111111111111111
70,4,0.6222222222222222
70,5,0.6
70,6,0.5555555555555556
71,1,0.7777777777777778
71,2,0.6666666666666666
71,3,0.7111111111111111
71,4,0.6222222222222222
71,5,0.6444444444444445
71,6,0.5777777777777777
72,1,0.7777777777777778
72,2,0.6666666666666666
72,3,0.6888888888888889
72,4,0.5555555555555556
72,5,0.5777777777777777
72,6,0.5111111111111111
73,1,0.7555555555555555
73,2,0.6444444444444445
73,3,0.6888888888888889
73,4,0.6
73,5,0.5777777777777777
73,6,0.5111111111111111
74,1,0.7555555555555555
74,2,0.6666666666666666
74,3,0.6666666666666666
74,4,0.5555555555555556
74,5,0.5333333333333333
74,6,0.4444444444444444
75,1,0.7555555555555555
75,2,0.7333333333333333
75,3,0.7111111111111111
75,4,0.6
75,5,0.6
75,6,0.4666666666666667
76,1,0.7555555555555555
76,2,0.7111111111111111
76,3,0.6888888888888889
76,4,0.5777777777777777
76,5,0.5111111111111111
76,6,0.4222222222222222
77,1,0.7555555555555555
77,2,0.6888888888888889
77,3,0.6888888888888889
77,4,0.6
77,5,0.5555555555555556
77,6,0.4444444444444444
78,1,0.7777777777777778
78,2,0.6888888888888889
78,3,0.6888888888888889
78,4,0.5555555555555556
78,5,0.5333333333333333
78,6,0.4666666666666667
79,1,0.7777777777777778
79,2,0.6888888888888889
79,3,0.6666666666666666
79,4,0.5555555555555556
79,5,0.5555555555555556
79,6,0.4444444444444444
80,1,0.7777777777777778
80,2,0.6666666666666666
80,3,0.6666666666666666
80,4,0.5555555555555556
80,5,0.5777777777777777
80,6,0.5555555555555556
81,1,0.7777777777777778
81,2,0.6888888888888889
81,3,0.6666666666666666
81,4,0.5333333333333333
81,5,0.5333333333333333
81,6,0.4444444444444444
82,1,0.7777777777777778
82,2,0.7111111111111111
82,3,0.6444444444444445
82,4,0.5333333333333333
82,5,0.5777777777777777
82,6,0.5111111111111111
83,1,0.7555555555555555
83,2,0.6888888888888889
83,3,0.6666666666666666
83,4,0.5333333333333333
83,5,0.5111111111111111
83,6,0.5111111111111111
84,1,0.7777777777777778
84,2,0.6888888888888889
84,3,0.6222222222222222
84,4,0.5555555555555556
84,5,0.4666666666666667
84,6,0.4444444444444444
85,1,0.7555555555555555
85,2,0.6666666666666666
85,3,0.6444444444444445
85,4,0.5333333333333333
85,5,0.4444444444444444
85,6,0.4222222222222222
86,1,0.7555555555555555
86,2,0.6888888888888889
86,3,0.6444444444444445
86,4,0.4888888888888889
86,5,0.4444444444444444
86,6,0.4222222222222222
87,1,0.7333333333333333
87,2,0.6888888888888889
